Radial Velocity,6.495,0.081,0.96,121.07,1.68,,
Radial Velocity,47.84,0.249,0.098,49.33,0.9,,
Radial Velocity,4.5557,0.0498,0.62,41.6,0.79,,
Radial Velocity,5.8881,0.07,0.367,53.08,1.33,,
Radial Velocity,55.806,0.2643,0.186,20.82,,,
Radial Velocity,1043,2.335,2.1,,1.56,,
Radial Velocity,199.505,0.95,8.3,102.04,,,
Radial Velocity,1531,2.611,6.92,37.44,,,
Radial Velocity,2890,4.3,11,87.87,,,
Radial Velocity,989.2,2.015,0.94,17.35,1.11,,
Radial Velocity,3630,4.59,9.61,36.36,0.97,,
Imaging,,650,11,91.83,1.5,,
Radial Velocity,1075.2,2.131,6.21,32.56,,,
Radial Velocity,48.056,0.269,0.21,51.26,,,
Radial Velocity,10.8985,0.102,0.261,38.56,,,
Radial Velocity,1129,2,3.5,49.4,0.84,,
Radial Velocity,443.4,1.4,2.6,138.5,,,
Radial Velocity,395.8,1.038,1.29,68.54,,,
Radial Velocity,1624,2.659,0.99,68.54,,,
Radial Velocity,68.27,0.33,0.77,65.62,,,
Radial Velocity,7.8543,0.079,0.054,56.92,1.05,,
Radial Velocity,30.93,0.196,0.076,56.92,1.05,,
Radial Velocity,5.24,0.0635,0.28,59.03,1.2,,
Radial Velocity,835.477,2.14,11.09,97.66,,,
Radial Velocity,1143,1.97,6.8,28.88,0.78,,
Radial Velocity,324,0.92,2.83,37.42,1.4,,
Radial Velocity,663.2,1.24,0.36,15.9,0.58,,
Radial Velocity,1818,2.44,0.93,15.9,0.58,,
Radial Velocity,937.7,1.65,1.24,28.04,0.68,,
Radial Velocity,3827,5.16,0.48,20.48,1.36,,
Radial Velocity,1114,2.11,0.95,35,,,
Radial Velocity,83.888,0.363,11.68,40.57,,,
Radial Velocity,493.7,1.16,1.1,20.43,,,
Radial Velocity,1627.5,2.708,4.21,51.7,1.24,,
Radial Velocity,223.6,0.721,0.36,51.7,1.24,,
Radial Velocity,670,1.78,2.1,110.62,,,
Radial Velocity,2597,3.79,1.88,33.01,,,
Radial Velocity,433.7,1.08,6.5,231.5,0.9,,
Radial Velocity,25.827,0.176,0.178,38.02,,,
Radial Velocity,6.1335,0.07,2.13,88.57,,,
Radial Velocity,1945,3.16,0.622,33.98,,,
Radial Velocity,37.91,0.229,0.0788,33.98,,,
Radial Velocity,711,1.93,6.54,66.49,,,
Radial Velocity,2082,4.3,4.5,97.66,2.39,,
Radial Velocity,63.33,0.33,1.22,44.37,1.18,,
Radial Velocity,9.6737,0.0809,0.041,27.45,,,
Radial Velocity,559.4,1.37,3,52.83,1.09,,
Radial Velocity,4.1547,0.05,0.058,52.83,1.09,,
Radial Velocity,3008,4.2,7.2,52.83,1.09,,
Radial Velocity,133.6,0.54,2.9,158.4,1.2,,
Radial Velocity,262.709,0.831,2.3,37.16,,,
Radial Velocity,1708,2.9,1.92,37.16,,,
Radial Velocity,1244,2.35,0.38,68.35,1.15,,
Radial Velocity,453.019,1.084,1.769,,0.83,,
Radial Velocity,921.538,1.74,3.789,,0.83,,
Radial Velocity,1840,2.9,1.6,67.61,,,
Radial Velocity,10.70871,0.0925,1.15,29.76,0.92,,
Radial Velocity,883,2.09,2.2,121.36,,,
Radial Velocity,1951,3.17,18.15,57.21,1.1,,
Radial Velocity,471.6,1.85,14,300.3,,,
Radial Velocity,974,1.98,5.61,70.97,,,
Radial Velocity,1544,2.62,1.49,98.52,,,
Radial Velocity,258.19,0.81,1.59,25.65,,,
Radial Velocity,5000,5.8,0.82,25.65,,,
Radial Velocity,464.3,1.32,2,106.38,1.33,,
Radial Velocity,330,0.89,0.223,38.45,0.86,,
Radial Velocity,19.382,0.154,0.865,66.89,1.29,,
Radial Velocity,931,2.03,5.13,66.89,1.29,,
Radial Velocity,4218,5.15,1.88,45.52,1.02,,
Radial Velocity,1125.7,2.36,9.76,121.36,1.35,,
Radial Velocity,1455,3.4,7.8,163.4,2.4,,
Radial Velocity,653.22,1.52,9.7,33.46,,,
Radial Velocity,349.7,1.02,1.25,25.64,1.23,,
Radial Velocity,6005,6.8,5.3,25.64,1.23,,
Radial Velocity,1928,3.03,5.1,35.87,,,
Radial Velocity,1299,2.77,1.9,106.38,,,
Radial Velocity,386.3,1.05,1.62,34.57,1.03,,
Radial Velocity,1057,2,3.12,59.35,,,
Radial Velocity,103.95,0.45,5.76,55.19,1.12,,
Radial Velocity,176.3,0.76,2.9,126.1,1.9,,
Radial Velocity,2730,4.6,2.28,,1.75,,
Radial Velocity,5.77152,0.0634,0.02026,23.44,1.02,,
Radial Velocity,13.5052,0.1117,0.01759,23.44,1.02,,
Radial Velocity,44.236,0.2388,2.12,42.68,,,
Radial Velocity,1008,1.922,6.56,42.68,,,
Radial Velocity,528.4,1.32,1.21,12.87,1.11,,
Radial Velocity,1027,2.45,0.85,53.05,1.22,,
Radial Velocity,331.5,0.93,0.96,59.28,,,
Radial Velocity,2.8758911,,0.368,78.86,1.34,0.813,0.85
Radial Velocity,4.072,0.053,1.33,63.49,1.21,,
Radial Velocity,431.8,1.31,3.1,167.5,,,
Radial Velocity,5894,6.7,2.71,27.23,1.17,,
Radial Velocity,2097,3.2,3,85.18,,,
Radial Velocity,689,1.48,1.5,182.82,,,
Radial Velocity,499.4,1.28,2.73,51.87,1.12,,
Radial Velocity,3342,4.19,0.947,18.06,,,
Radial Velocity,163.9,0.6,5.02,65.79,,,
Radial Velocity,408.6,1.291,2.24,68.54,1.72,,
Radial Velocity,3452,5.36,2.58,68.54,1.72,,
Radial Velocity,885,2.07,2,75.1,1.5,,
Radial Velocity,194.3,0.64,0.85,43.4,,,
Radial Velocity,391.9,1.02,0.82,43.4,,,
Radial Velocity,131.05,0.495,9.71,35.37,,,
Radial Velocity,842.2,1.88,0.74,55.1,1.25,,
Radial Velocity,4.6455,0.05,0.013,24.05,,,
Radial Velocity,359.5546,1.096,10.57,49,,,
Radial Velocity,521,1.52,1.8,114.15,,,
Radial Velocity,12.62,0.11,1.13,68.59,1.12,,
Radial Velocity,248.4,0.8,1.9,68.59,1.12,,
Radial Velocity,1178.4,2.25,2.1,52.72,,,
Radial Velocity,352.3,1,0.73,52.72,,,
Radial Velocity,577.9,1.48,0.96,84.6,1.31,,
Radial Velocity,2111,3.52,3.48,84.6,1.31,,
Radial Velocity,643.25,1.497,1.08,15.28,1.08,,
Radial Velocity,4205.8,5.235,1.814,15.28,1.08,,
Radial Velocity,9.6386,0.09094,0.03321,15.28,1.08,,
Radial Velocity,310.55,0.921,0.5219,15.28,1.08,,
Radial Velocity,75.523,0.363,0.26,35.91,,,
Radial Velocity,990,2.1,4.4,59.84,1.29,,
Radial Velocity,8.428198,0.074,14.4,31.26,,,
Radial Velocity,75.29,0.36,0.77,69.44,1.09,,
Radial Velocity,1314,2.42,2.29,69.44,1.09,,
Radial Velocity,17.24,0.14,0.0696,25.54,,,
Radial Velocity,282.4,0.875,0.48,51.81,1.13,,
Radial Velocity,40,0.23,0.05078,28.93,0.99,,
Radial Velocity,606.4,1.3,2.7,37.98,,,
Radial Velocity,1155,2.11,0.36,21.92,,,
Radial Velocity,270,0.94,6.43,110.62,1.5,,
Radial Velocity,5144,5.42,3.53,42.99,0.81,,
Radial Velocity,420.77,1.32,1.7,50,1.5,,
Radial Velocity,58.11247,0.2931,7.659,37.88,0.99,,
Radial Velocity,1749.83,2.8373,17.193,37.88,0.99,,
Radial Velocity,6.404,0.0659,0.248,43.12,0.93,,
Radial Velocity,533,1.3,6.1,7.01,,,
Radial Velocity,225.62,0.81,2.88,36.32,1.4,,
Radial Velocity,2102,3.6,4.04,36.32,1.4,,
Radial Velocity,1145,2.1,0.67,64.98,1.14,,
Radial Velocity,359.9,,4.6,,2.3,,
Radial Velocity,550,1.32,1.98,90,0.99,,
Radial Velocity,1523,2.54,2.6,44.05,0.94,,
Radial Velocity,21.21663,0.1614,3.22,75,1.24,1.02,3.78
Radial Velocity,323.6,1.16,2.7,134.95,2,,
Radial Velocity,1290,2.4,7.8,67.02,,,
Radial Velocity,297.3,1.03,0.61,127.55,1.65,,
Radial Velocity,29.01,,0.02825,45.27,0.71,,
Radial Velocity,406.6,1.2218,1.49,59.03,1.47,,
Radial Velocity,110.9,0.5137,0.15,59.03,1.47,,
Radial Velocity,71.484,0.339,7.03,46.73,,,
Radial Velocity,14.476,0.1216,0.0866,63.69,1.15,,
Radial Velocity,3.092514,0.0443,0.916,27.05,1.21,,
Radial Velocity,396.03,1.4,22,131.75,2.6,,
Radial Velocity,479,1.39,1.6,114.55,1.52,,
Radial Velocity,663,1.78,3.3,115.47,1.84,,
Radial Velocity,9.3743,0.08,0.024,26.15,0.78,,
Radial Velocity,962,1.76,0.64,26.15,0.78,,
Radial Velocity,2172,3,0.54,26.15,0.78,,
Radial Velocity,956,1.78,0.37,55.93,0.92,,
Radial Velocity,626.5,1.51,3.67,52.83,1.17,,
Radial Velocity,3070,4.35,3.57,52.83,1.17,,
Radial Velocity,6.838,0.077,0.94,47.37,1.28,,
Radial Velocity,986,2.05,0.75,44.98,1.22,,
Radial Velocity,3.0965828,0.0426,0.523,47.92,1,,
Radial Velocity,3810,4.89,1.99,47.92,1,,
Radial Velocity,772,1.92,2.7,127.88,,,
Radial Velocity,461.2,1.203,1.5,52.63,1.09,,
Radial Velocity,2.21857578,0.03142,1.15,19.25,0.84,1.151,1.004
Radial Velocity,2915,4.01,1.56,15.89,0.96,,
Radial Velocity,17.111,0.1304,0.06,15.89,0.96,,
Radial Velocity,1038.1,2.07,1.9,54.23,1.1,,
Radial Velocity,4885,5.5,3.1,189.39,0.91,,
Radial Velocity,24.3556,0.1532,0.641,19.89,,,
Radial Velocity,74.72,0.32,0.0532,8.82,0.8,,
Radial Velocity,525.8,1.18,0.076,8.82,0.8,,
Radial Velocity,345.53,1.15,2.4,67.39,1.68,,
Radial Velocity,18.20132,0.1388,3.69,37.35,1.07,,
Radial Velocity,1378,2.54,2.9,46.93,1.15,,
Radial Velocity,3638,5.02,6.9,43.57,1.29,,
Radial Velocity,1333,2.37,2.58,32.99,1.28,,
Radial Velocity,1035.7,2.07,0.79,32.83,,,
Radial Velocity,466.2,1.305,1.37,22.38,1.37,,
Radial Velocity,613.8,1.601,1.85,68.35,1.44,,
Radial Velocity,825,1.95,0.895,68.35,1.44,,
Radial Velocity,255.87,0.83,17.4,46.34,1.15,,
Radial Velocity,1383.4,2.55,2.44,46.34,1.15,,
Imaging,,487.1,24.09,40.85,,,
Radial Velocity,1120,2.23,6.11,89.85,1.17,,
Radial Velocity,2024.1,3.167,4.28,47.3,1.02,,
Radial Velocity,34.905,0.2099,0.0553,47.3,1.02,,
Radial Velocity,1733,2.56,0.266,26.95,0.74,,
Radial Velocity,279.8,0.896,1.37,90.33,1.22,,
Radial Velocity,610,1.68,2.2,170.07,1.56,,
Radial Velocity,577.9,1.359,0.73,36.02,1,,
Radial Velocity,161.97,0.57,0.56,55.31,0.94,,
Radial Velocity,1155.7,2.112,0.73,55.31,0.94,,
Radial Velocity,18.315,0.1207,0.0085,6.06,0.7,,
Radial Velocity,40.114,0.2036,0.0076,6.06,0.7,,
Radial Velocity,90.309,0.3499,0.015,6.06,0.7,,
Radial Velocity,130.08,0.524,0.52,44,1.13,,
Radial Velocity,875.5,2.1,9.9,352.11,1.6,,
Radial Velocity,380.85,0.947,1.99,48.9,0.78,,
Radial Velocity,3.52474859,0.04747,0.714,47.08,1.15,1.38,0.362
Radial Velocity,442.19,1.138,1.29,21.29,1.01,,
Radial Velocity,354.8,1.2,1.9,55.93,1.68,,
Radial Velocity,2.245715,0.036,0.45,52.72,1.27,,
Radial Velocity,373.3,1.22,2.3,121.8,1.15,,
Radial Velocity,951,2.03,4.5,40.75,,,
Radial Velocity,3.93404,0.047,0.02,43.53,0.87,,
Radial Velocity,567.94,1.282,0.33,43.53,0.87,,
Radial Velocity,1311,2.56,1.26,33.29,1.3,,
Radial Velocity,1256,2.32,1.82,26.52,1.15,,
Radial Velocity,148.6,0.609,1.47,,1.36,,
Radial Velocity,118.45,0.46,0.65,37.89,0.9,,
Radial Velocity,7.126816,0.0748,1.39,19.72,1.02,,
Radial Velocity,4270,5.32,2.6,19.72,1.02,,
Radial Velocity,1319,2.38,13,54.92,,,
Radial Velocity,225.7,0.6873,0.21,29.94,0.85,,
Radial Velocity,5501,6.22,10.39,29.2,1.05,,
Radial Velocity,3.0931,0.038474,0.012,6.55,0.79,,
Radial Velocity,6.7635,0.064816,0.011,6.55,0.79,,
Radial Velocity,46.71,0.23508,0.067,6.55,0.79,,
Radial Velocity,1190,2.14,0.19507,6.55,0.79,,
Radial Velocity,22.805,0.14574,0.028,6.55,0.79,,
Radial Velocity,94.2,0.3753,0.034,6.55,0.79,,
Radial Velocity,2247,3.11,0.34,6.55,0.79,,
Radial Velocity,2093.3,3.2,1,,1,,
Radial Velocity,3.8335,,0.06,81.1,,,
Radial Velocity,672.1,1.6,11.1,289.02,1.2,,
Radial Velocity,2209,3.36,1.06,45.23,1.04,,
Radial Velocity,3724.7,4.94,1.45,48.43,,,
Radial Velocity,456.1,1.25,3.09,52.88,1.25,,
Radial Velocity,3999,5.1,1.9,50.45,1.13,,
Radial Velocity,572.38,1.347,7.75,41.95,0.99,,
Radial Velocity,26.73,0.192,0.71,94.07,1.33,,
Radial Velocity,528.07,1.167,13.65,31.79,,,
Radial Velocity,730.6,1.596,2.45,34.6,,,
Radial Velocity,1214,2.4,1.5,89.13,1.13,,
Radial Velocity,141.6,0.53,1.08,108.46,1.14,,
Radial Velocity,192,0.747,6.575,,1.5,,
Radial Velocity,1561,2.772,7.71,51.97,,,
Radial Velocity,501.75,1.16,5.21,,0.82,,
Radial Velocity,745.7,1.9,5.3,307.69,1.69,,
Radial Velocity,3668,4.92,4.01,46.51,1.18,,
Radial Velocity,535.6,1.29,9.4,264.4,1,,
Radial Velocity,1845,3.02,0.95,56.05,,,
Radial Velocity,3.4442,0.044,0.48,53.71,0.93,,
Radial Velocity,428.1,1.271,1.56,18.24,,,
Radial Velocity,2208,3.25,1.45,44.54,0.94,,
Radial Velocity,17.9904,0.125,0.645,42.37,0.8,,
Radial Velocity,385.9,1.032,5.59,39.56,,,
Radial Velocity,1116,2.15,1.16,54.7,1.06,,
Radial Velocity,6.0881,,0.917,42.43,0.73,,
Radial Velocity,8.7836,0.066,0.026,9.42,0.45,,
Radial Velocity,387.1,1.25,1.7,168.92,,,
Radial Velocity,2443,3.43,2.54,56.7,0.9,,
Radial Velocity,311.6,1.2,1.6,115.21,2.54,,
Radial Velocity,2770,3.95,10.45,54.71,1.01,,
Radial Velocity,1159.2,2.315,1.373,26.5,1.23,,
Radial Velocity,1684,2.69,0.47,57.1,0.92,,
Radial Velocity,912,1.8,1.8,121.07,,,
Radial Velocity,466,1.26,0.5,53.82,1.23,,
